,ucid,uuid,upid,is_correct,total_sec_taken,total_attempt_cnt,used_hint_cnt,points,badges_cnt,level0,level1,level2,level3,level4,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,learning_stage,difficulty
14,+odAMeNn6DqBHYkdD0fKH59bzQMwJTqsCW9nqJ1etcI=,9097,16,0.6908871056392217,69.23733098823789,1.9704298120259427,0.5815103880400132,266284.9715290755,38.36858304935693,7293.0,1125.0,346.0,215.0,118.0,50.0,34.0,87.0,32.0,1118.0,5956.0,1488.0,218.0,95.0,3.0,16.0,0.0,elementary,easy
15,+owQ9eTzitOLHF3SZxKwWN9ZpsHjg3tK4A9fpS7E0oo=,6287,7,0.8840464450453316,33.066804517257836,1.2320661682837601,0.16796564339112455,251166.98027676158,43.898361698743436,4720.0,1002.0,269.0,236.0,60.0,10.0,3.0,1.0,14.0,56.0,171.0,4653.0,841.0,329.0,104.0,55.0,50.0,junior,easy
16,+tVk3DLjXUKiZ3/hK6CJAl3Z8sfp093/2DwLqCsFgMA=,14596,50,0.8751712798026857,15.264318991504522,1.2363661277062208,0.1431214031241436,251507.20108248835,36.48876404494382,9608.0,2896.0,970.0,804.0,318.0,43.0,55.0,89.0,70.0,295.0,1829.0,7608.0,2036.0,2137.0,206.0,70.0,158.0,junior,easy
17,+tX4n52MmDdJGGzRnY7I7jEoynqRl6k1jAnonznfs7Q=,3381,25,0.5533865720201124,71.77610174504585,2.4368530020703933,0.9713102632357291,430686.3309671695,72.4327122153209,2862.0,372.0,79.0,46.0,22.0,0.0,12.0,4.0,14.0,55.0,116.0,2235.0,482.0,285.0,98.0,41.0,39.0,junior,easy
18,+xN/geZI+rXD8yB7YBDvLwAXgXO6aORg9eOFv6AfGHM=,10433,14,0.5473018307294163,57.13294354452219,2.653503306814914,1.4695677178184607,375891.94306527363,44.594364037189685,8394.0,1196.0,433.0,316.0,94.0,43.0,99.0,270.0,5737.0,2838.0,1092.0,120.0,115.0,11.0,30.0,33.0,45.0,elementary,hard
19,+zUL0wWCfsBXNoDj5KsvASLlqd26KU9+nSN1zZ7GsQI=,9857,16,0.8037942578877955,38.303844983260625,1.6368063305265295,0.18240844070203915,317431.23059754487,35.755808055189206,7202.0,1605.0,455.0,437.0,158.0,44.0,83.0,158.0,5917.0,2387.0,1009.0,103.0,42.0,14.0,44.0,36.0,20.0,elementary,easy
20,/0Y1OFJkQGPagfYO9uI6mM0Z9KK7vcmT/QPVos+v7Ec=,4939,24,0.5389755011135857,24.478639400688397,2.153877303097793,0.2399271107511642,386497.1923466289,71.38631301882972,4100.0,538.0,192.0,86.0,23.0,0.0,0.0,12.0,89.0,174.0,267.0,3538.0,402.0,228.0,127.0,47.0,55.0,junior,unset
21,/4h6DuvZuZzr028oR886m6kpiLYuUSmpr9v3ITNTgiY=,19224,18,0.8841032043279234,24.822877652933833,1.42576987099459,0.15667915106117353,256282.98975239284,28.118965875988348,11479.0,4127.0,1708.0,1322.0,588.0,42.0,133.0,621.0,11904.0,4442.0,1336.0,315.0,108.0,163.0,45.0,62.0,53.0,elementary,easy
22,/7bwpUc6iDiE/m0Qj8CJo8qYMkAC51PHzIxTMmkE0nA=,2092,16,0.7055449330783938,49.992351816443595,2.1706500956022943,0.377151051625239,584721.274378585,50.14101338432123,1512.0,297.0,138.0,109.0,36.0,0.0,0.0,36.0,179.0,908.0,728.0,173.0,18.0,7.0,32.0,11.0,0.0,elementary,easy
23,/OENQOL30zwAXAy3IN1FbzZFfjfOLaynYaW3w6bk2gw=,4215,22,0.3900355871886121,47.86429418742586,2.7584816132858836,0.5093712930011862,294176.15871886123,71.0723606168446,3943.0,220.0,36.0,12.0,4.0,13.0,6.0,19.0,21.0,6.0,26.0,151.0,2518.0,1266.0,97.0,36.0,56.0,junior,easy
24,/SsQisa91ErcEufKW7SNb4xZ6DASvJZ4Ml5/0BluyAA=,9091,31,0.6626333736662633,23.487735122648772,1.7079529204707953,0.4861951380486195,208685.30018699812,40.188758112418874,7066.0,1291.0,452.0,194.0,88.0,13.0,6.0,17.0,39.0,42.0,126.0,1213.0,5585.0,1785.0,92.0,99.0,74.0,junior,easy
25,/Sw5cJFSX/oGzBxxguGO4BkFKPZmhFXSpCCJVhOtffU=,9740,15,0.6596509240246407,53.615708418891174,2.8637577002053387,1.296406570841889,325434.5579055441,44.90205338809035,7552.0,1294.0,494.0,310.0,90.0,8.0,0.0,48.0,191.0,8243.0,1093.0,131.0,5.0,0.0,0.0,21.0,0.0,elementary,hard
26,/ZG3Gxrc7wG0FWxYWExavs4ATbc0nu47cDYJAuQYVvc=,2619,20,0.4562810232913326,144.82130584192439,4.01450935471554,4.300114547537228,508527.78045055363,73.88507063764796,2244.0,229.0,77.0,50.0,19.0,5.0,0.0,0.0,6.0,24.0,48.0,2123.0,293.0,14.0,65.0,18.0,23.0,junior,normal
27,/acOsfJkQuYuDq5UjkRrojhkbUcIgia4SvjKpo1v0pI=,3143,31,0.5777919185491569,35.198218262806236,2.230034998409163,0.27616926503340755,410725.3811644925,71.95736557429208,2603.0,388.0,100.0,38.0,14.0,8.0,0.0,5.0,7.0,42.0,77.0,2223.0,517.0,123.0,97.0,7.0,37.0,junior,normal
28,/d39FzqaM3PZzpoMXxA80PMICsVhzfL6MGSCqZtsQOo=,17661,16,0.6472453428458185,36.7594133967499,1.9469452465885284,0.8055036521148293,303718.01387237414,41.756582299983016,13578.0,2359.0,815.0,585.0,324.0,96.0,108.0,97.0,776.0,11210.0,4241.0,837.0,137.0,59.0,18.0,55.0,27.0,elementary,easy
29,/dE70lhbWnFlB1v+ZQBYpQu2XDmodq4HYiBDGZRw3+o=,12089,16,0.8319960294482588,61.61080320952932,1.6756555546364464,0.3259988419224088,334231.99445777154,41.839358094135164,8632.0,1922.0,773.0,568.0,194.0,65.0,40.0,80.0,521.0,8781.0,2059.0,414.0,58.0,17.0,6.0,39.0,9.0,elementary,easy
30,/dgnkSSQs7RfFOI233RPKNKg29VBS0L7s7IBSmtIWqI=,2319,16,0.4769297110823631,56.23717119448038,2.311772315653299,0.716257007330746,155793.65200517463,30.109529969814574,2084.0,148.0,60.0,23.0,4.0,0.0,2.0,18.0,2.0,0.0,17.0,64.0,80.0,1850.0,273.0,10.0,3.0,junior,easy
31,/ejwQaTpw8saI8XVEo0mo08Yf2ko9KW5lwBJRlO8/dM=,266,40,0.48120300751879697,69.10526315789474,2.082706766917293,0.9962406015037594,302149.4736842105,68.11654135338345,249.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,26.0,95.0,96.0,30.0,0.0,0.0,junior,normal
32,/fQsOaxbPuYyM7ZO/JBLBRA6HJyOHY8zUN9oLVT5vYM=,13609,16,0.9177015210522448,42.84377985156881,1.2223528547284885,0.1449041075758689,301937.45102505694,33.906752884120806,9312.0,2504.0,950.0,568.0,275.0,59.0,310.0,8241.0,1887.0,1814.0,642.0,235.0,122.0,103.0,64.0,55.0,77.0,elementary,easy
33,/fn8Ym16AvhuhgFRtoeZ4sRU9ZRhvvpYN90SUH7zQ4M=,19143,20,0.776889724703547,26.458496578383745,1.6848978738964635,0.16893903776837485,248744.11936478087,30.173588256804052,13337.0,3499.0,1216.0,732.0,359.0,58.0,138.0,592.0,11180.0,4662.0,1903.0,186.0,87.0,137.0,63.0,88.0,49.0,elementary,easy
34,/m+oiUSO1lBCPvQ6LkUyCbWdd7ML4X1IxxuUa8QcDMo=,11055,27,0.6460425146992311,59.25128900949797,2.311352329262777,0.8030755314337404,240444.48195386704,35.57476255088196,8845.0,1364.0,475.0,278.0,93.0,98.0,20.0,88.0,75.0,695.0,8720.0,1078.0,107.0,116.0,16.0,12.0,30.0,elementary,easy
35,00KEZbwE/6qJ+WSl9TwUEgbwi/wmnEVgeCnGzi4/EYo=,27820,18,0.48404025880661394,35.41168224299066,2.2537383177570094,0.49083393242271744,277033.35887850466,34.129726815240836,23648.0,2548.0,1008.0,489.0,127.0,169.0,906.0,16191.0,4910.0,3015.0,1302.0,279.0,180.0,228.0,186.0,319.0,135.0,elementary,normal
36,00tlmGnNIf0z+qJsG0NMS4ufwkwwG1nZtKszPesM1EM=,6926,16,0.6631533352584464,37.78847819809414,2.421166618538839,0.5303205313312157,383639.6153624025,41.79078833381461,5494.0,846.0,307.0,199.0,80.0,46.0,40.0,176.0,3707.0,1799.0,864.0,95.0,69.0,30.0,28.0,58.0,14.0,elementary,easy
37,01c8/1Mc1V3LZtYFNre8TolslWChJSztpFHSNAvPlpI=,6846,16,0.6630148992112183,43.067776803973125,1.9269646508910312,0.5150452819164476,335733.96976336546,36.77344434706398,5602.0,760.0,233.0,182.0,69.0,24.0,68.0,170.0,2257.0,2780.0,1302.0,96.0,11.0,77.0,22.0,17.0,22.0,elementary,easy
38,04Ly7oQJHeLBj2GcKWLn7e51TJmF5MTSvPESVomvUM4=,21953,17,0.713068828861659,18.033161754657677,1.7032751787910536,0.2561381132419259,265027.90616316674,31.037853596319408,15533.0,3349.0,1482.0,1162.0,427.0,84.0,200.0,815.0,13033.0,5172.0,1842.0,355.0,140.0,49.0,104.0,143.0,16.0,elementary,easy
39,06kRCVdMd4I4CpJxtM7rmBED6keL482Br8ZCE6DU+W4=,2378,20,0.5155592935239697,41.46509671993272,2.0719091673675356,1.197224558452481,357068.88225399493,93.94743481917578,2104.0,214.0,42.0,12.0,6.0,0.0,0.0,0.0,17.0,6.0,48.0,51.0,1641.0,406.0,79.0,74.0,56.0,junior,easy
40,0BL+DbelLoGwTw7JvHBXe7pZr1N/E8JVhngim3zzjJ4=,10041,22,0.877402649138532,15.229957175580122,1.162931978886565,0.11970919231152276,210263.49218205357,38.10755900806693,5807.0,2348.0,1104.0,479.0,303.0,44.0,30.0,57.0,41.0,428.0,239.0,698.0,6102.0,1945.0,214.0,121.0,122.0,junior,easy
41,0FMoJE22DcUZEQ3fIPHBSuBfrQEG0vjhpvOoWyeTTXY=,16129,18,0.4851509703019406,68.88610577221155,2.716535433070866,1.6062372124744249,234248.78516957033,30.89013578027156,13204.0,1536.0,800.0,458.0,131.0,29.0,29.0,77.0,67.0,2549.0,10259.0,2357.0,524.0,185.0,16.0,9.0,28.0,elementary,hard
42,0FaNRnGt8wB5REzt8NnMPYaoTw4/qe+3z2hOkQOvI/s=,8093,27,0.731496354874583,59.49067095020388,1.8187322377363153,0.7396515507228469,289415.45767947607,46.25973063140986,6191.0,1154.0,414.0,244.0,90.0,29.0,0.0,0.0,10.0,91.0,189.0,6304.0,818.0,435.0,115.0,33.0,69.0,junior,easy
43,0L/eenAcUQ8YSZ6x22wFpagb2l4TXqOSGgRtSI56kvI=,9766,19,0.7050993241859512,52.43590006143764,1.8053450747491295,0.6862584476756093,267855.932213803,44.103932009010855,7792.0,1267.0,380.0,237.0,90.0,48.0,0.0,32.0,20.0,89.0,673.0,6480.0,1258.0,775.0,243.0,41.0,107.0,junior,easy
44,0SEOeLpKd2K4V+T1BhZENWUuLHGTd+x+SQiXWcPAFZc=,2268,16,0.812610229276896,39.53703703703704,1.5811287477954146,0.2619047619047619,273775.0815696649,41.27116402116402,1740.0,355.0,77.0,66.0,30.0,6.0,22.0,1.0,10.0,87.0,1853.0,271.0,18.0,0.0,0.0,0.0,0.0,elementary,easy
45,0TFQA8MIRYvgH+PXVXYkRKMPK/LPcaVH9hTxb5daZ+o=,6206,31,0.5386722526587173,37.71753142120529,2.1081211730583305,0.30051563003544957,331140.96422816627,56.08975185304544,5115.0,662.0,236.0,156.0,37.0,2.0,0.0,14.0,81.0,92.0,275.0,4395.0,716.0,283.0,123.0,128.0,97.0,junior,unset
46,0f0BGV01H4RbdYLrd/fZN5enqRjIC7Bkzcoqxzgf0YA=,4864,16,0.7347861842105263,28.06044407894737,1.653782894736842,0.3238075657894737,429813.74403782893,42.50452302631579,3681.0,598.0,317.0,196.0,72.0,20.0,63.0,100.0,1240.0,2314.0,1018.0,69.0,0.0,17.0,8.0,2.0,13.0,elementary,easy
47,0hKXPT2iK/182EPLj3c5qePYUT84KU4JI+P/t6nnmBk=,5077,35,0.46425054165845975,45.64112664959622,2.2891471341343315,0.481386645656884,215057.50108331692,41.489265314161905,4558.0,255.0,78.0,91.0,95.0,0.0,4.0,56.0,165.0,226.0,272.0,2963.0,438.0,804.0,117.0,32.0,0.0,junior,easy
48,0jLx3N/h3zT921WmSVhS4e0TPADpzOygjsvjtTOolmc=,3316,13,0.47858866103739445,75.10796139927623,2.2234620024125453,0.7840772014475271,289296.92430639325,48.04433051869722,2856.0,289.0,99.0,63.0,9.0,0.0,18.0,16.0,47.0,29.0,68.0,2366.0,525.0,190.0,33.0,0.0,24.0,junior,hard
49,0k/ZE9Ku+2Enji5zKQZ5mrfr9r+Noh1CS9kH0GKGf0Q=,5113,16,0.43281830627811463,79.29923723841189,2.89419127713671,2.2278505769606882,237807.68120477215,36.02620770584784,4498.0,444.0,99.0,47.0,25.0,0.0,0.0,44.0,32.0,513.0,3725.0,730.0,65.0,0.0,4.0,0.0,0.0,elementary,hard
50,0lDY2d/yzs1IgpdsEVNAptv7CcTNSmBXzskCNgPAJTU=,2644,24,0.5953101361573374,85.65468986384266,1.7776096822995462,0.4262481089258699,337197.93683812406,69.71520423600604,2314.0,255.0,56.0,13.0,6.0,0.0,0.0,1.0,6.0,1.0,30.0,272.0,1676.0,534.0,44.0,37.0,43.0,junior,easy
51,0nHTRYRZznXBRGpGHElXm2Gw+zHjWz37H+X3XCvUxQI=,2201,22,0.7305770104497955,51.25397546569741,1.4566106315311222,0.3366651522035438,366644.60608814174,71.03952748750568,1823.0,292.0,51.0,30.0,5.0,1.0,0.0,0.0,6.0,1.0,28.0,315.0,1410.0,327.0,49.0,29.0,35.0,junior,easy
52,0o4JbsG6rcRJSeQKtJ2tAUo1PL+wlyvYlEr/nB4zkOo=,16969,20,0.8072956567859038,80.8072956567859,1.7935647356945017,0.6801225764629619,378835.1338912134,38.284342035476456,11611.0,2637.0,1217.0,1067.0,437.0,176.0,597.0,6079.0,3078.0,4035.0,1323.0,593.0,430.0,277.0,137.0,91.0,153.0,elementary,easy
53,0oPDO0zy0NDr7kBNesLy+ZbkNuyynak8fcfE05h+pwc=,4862,16,0.7412587412587412,76.92081447963801,1.9971205265322913,0.5633484162895928,418249.1554915673,39.483545865898805,3828.0,568.0,230.0,174.0,62.0,11.0,32.0,132.0,2010.0,1495.0,960.0,103.0,17.0,30.0,26.0,6.0,40.0,elementary,easy
54,0scVV//lTsPR9BCw3T2WDN6f9c0ASzANn/bUBJM4+gI=,4456,16,0.35637342908438063,59.64968581687612,2.5895421903052065,0.9600538599640933,356586.887567325,94.59223518850987,4057.0,256.0,104.0,33.0,6.0,0.0,0.0,0.0,0.0,0.0,80.0,194.0,3135.0,792.0,61.0,151.0,43.0,junior,easy
55,0va2kBHyhCQAFKdC9DOJnPagiG32mCuQJZuApAXzMw0=,1297,20,0.41480339244410175,51.11719352351581,2.5936777178103316,1.1534309946029297,232517.7201233616,42.42945258288358,1146.0,105.0,37.0,6.0,3.0,0.0,1.0,0.0,53.0,2.0,0.0,11.0,40.0,868.0,249.0,20.0,53.0,junior,easy
56,0zOX/8KkAItZEgHsWUWF2Ac2jsFVbT6TWnAuugSAteU=,14028,16,0.47155688622754494,87.56522668947818,2.719846022241232,0.9977188480182492,401910.4729113202,42.08875106928999,11026.0,1626.0,689.0,510.0,177.0,30.0,148.0,8403.0,2489.0,2137.0,403.0,136.0,67.0,34.0,46.0,48.0,87.0,elementary,hard
57,1/laFoxMaEJLQfaHo92bbuIVjnq33aptQA8IY+0Hu+8=,993,9,0.48036253776435045,51.220543806646525,2.0443101711983886,0.5397784491440081,221681.69083585095,50.34541792547835,864.0,86.0,21.0,20.0,2.0,0.0,0.0,17.0,114.0,9.0,13.0,19.0,166.0,335.0,305.0,15.0,0.0,junior,hard
58,1832ZH2Snk3B6ztlqJVE6Ias3IiPSH5gGZBuYAy7SvI=,10243,16,0.591233037196134,53.60363174851118,3.224055452504149,1.1825637020404178,401261.89524553355,57.614761300400275,8346.0,1259.0,385.0,173.0,80.0,43.0,30.0,32.0,244.0,8463.0,1259.0,97.0,7.0,5.0,5.0,55.0,3.0,elementary,normal
59,1Fy/09VqlDTU2ABClPQcq/zyTpDz9LpnuIS7kowjjEA=,4497,23,0.6179675339114965,66.06760062263731,1.736046253057594,0.36468756949077163,271268.6597731821,50.79697576161886,3813.0,513.0,91.0,62.0,18.0,4.0,0.0,18.0,3.0,44.0,67.0,597.0,2580.0,1001.0,48.0,79.0,56.0,junior,easy
60,1MhbCa7PFHspw9qYdDLAld7A/t5TV965ehYwzUUf1ug=,13222,18,0.786114052337014,59.315232188776285,1.9331417334745122,0.6347753743760399,321036.195431856,42.04719407048858,10245.0,1763.0,564.0,443.0,207.0,58.0,59.0,33.0,495.0,10108.0,2055.0,244.0,48.0,7.0,39.0,65.0,11.0,elementary,easy
61,1WFEjeVRD0MW325Ssif9QSV+oEAMGUQfXzuBVtjPSto=,4888,16,0.5182078559738135,75.86763502454991,2.4909983633387887,1.3387888707037643,257415.72790507364,35.763297872340424,4538.0,232.0,68.0,39.0,11.0,33.0,8.0,24.0,0.0,674.0,3379.0,646.0,95.0,0.0,19.0,10.0,0.0,elementary,normal
62,1Zu6puXXArXORLxfMsN+B1XQm4lb2shHuMZAcokqmWw=,22422,16,0.6694764071001694,28.805280528052805,1.8474712336098476,0.45691731335295693,312739.86771920434,33.65654268129516,15574.0,3520.0,1707.0,1289.0,332.0,66.0,423.0,12607.0,3605.0,3552.0,867.0,462.0,192.0,198.0,107.0,269.0,74.0,elementary,easy
63,1e/leswSLZ3mYyWZriPrPDY2EoN3wwCXPbjTUX5aYW8=,3031,16,0.5268888155724183,55.116793137578355,2.144506763444408,0.3625866050808314,338364.29363246454,68.00725833058397,2560.0,391.0,57.0,14.0,9.0,0.0,16.0,9.0,0.0,11.0,108.0,139.0,2261.0,424.0,38.0,25.0,0.0,junior,hard
64,1fj13beFL9gkyJu7fOVD08cezQW4aaruf2z0f+Xew1E=,25799,16,0.6545214930811272,48.036241714795146,2.103608667002597,0.8229776347920462,296213.2407845265,41.91348501879918,19392.0,3410.0,1436.0,1114.0,447.0,115.0,175.0,128.0,1862.0,16806.0,5038.0,1072.0,220.0,165.0,122.0,66.0,30.0,elementary,easy
65,1iha+v5exIXrmb2ARHQmmJwmljMj98PxQ1Io7y+rq84=,6311,17,0.678973221359531,54.49516716843606,1.9052448106480748,0.7122484550784345,261700.97195373158,39.77578830613215,5328.0,573.0,209.0,154.0,47.0,20.0,5.0,22.0,24.0,544.0,4435.0,1102.0,110.0,34.0,4.0,11.0,0.0,elementary,easy
66,1rYu966l6i1cA34mdxukVKusuaDPMwcW6a6WCWe5ZFo=,10274,16,0.8998442670819544,23.691064823827137,1.2731166050223865,0.12760365972357407,353262.4576601129,34.920381545649214,6294.0,2057.0,833.0,824.0,266.0,15.0,224.0,5970.0,1354.0,1650.0,413.0,266.0,136.0,91.0,70.0,45.0,40.0,elementary,easy
67,1vxQPFV4O43WybxMtioe1qA8GIcP/kOWTaysWsNrBRY=,4442,21,0.44214317874831155,41.25168842863575,2.3180999549752364,0.6963079693831608,277007.5227375056,75.488743809095,3940.0,330.0,109.0,57.0,6.0,0.0,6.0,1.0,124.0,8.0,39.0,141.0,3057.0,845.0,69.0,145.0,7.0,junior,normal
68,1xsYLCdr/gQCUDijkXoMhULyqs0zluLgCvJN7Bfq3Pg=,13005,15,0.6382929642445213,50.35832372164552,2.7428681276432143,1.227527873894656,262648.0657439446,36.346251441753175,11079.0,1068.0,372.0,375.0,111.0,26.0,33.0,68.0,289.0,8920.0,3334.0,243.0,4.0,31.0,4.0,44.0,9.0,elementary,easy
69,2/JTGg3RUH3Q7RJgicVubieOoxNnseT0PQorlMexeog=,17611,18,0.8293680086309693,36.97529952870365,1.6520356595309749,0.3629549713247402,269854.2027709954,32.324626653795924,11367.0,3065.0,1638.0,1036.0,505.0,43.0,58.0,107.0,478.0,13678.0,2468.0,514.0,116.0,97.0,6.0,27.0,19.0,elementary,normal
70,201731Orvb+GcD3eI5Vi/mlUY7NGyHhegN0onY6aa1Y=,5573,16,0.6883186793468509,69.83725103176027,2.4991925354387226,1.0597523775345414,384042.5013457743,39.19307374842993,4631.0,545.0,169.0,169.0,59.0,10.0,15.0,87.0,3241.0,1087.0,843.0,184.0,16.0,23.0,30.0,22.0,15.0,elementary,easy
71,24yLmjpZLo3XO2t14fVHMUMqhVcVPs93RBeN42c/MGc=,13030,16,0.7749808135072909,47.570759785111285,1.7022256331542593,0.3737528779739064,364545.8191864927,39.811588641596316,9519.0,1911.0,774.0,611.0,215.0,13.0,316.0,7282.0,2632.0,1649.0,554.0,185.0,75.0,173.0,30.0,45.0,76.0,elementary,hard
72,2CExVv5jxzlmXb7zEgSlHP1/7BPhBG5eJ83q7zmPOkc=,11041,22,0.7036500317000272,69.92745222353048,2.403858346164297,0.630830540711892,334494.17598043656,44.702291459106966,8588.0,1366.0,603.0,354.0,130.0,41.0,5.0,63.0,320.0,9347.0,1066.0,91.0,31.0,19.0,8.0,39.0,11.0,elementary,normal
73,2I6JcI6MiTkb6Ya10XVBUdZIRXgbXhpapejBytTcjTg=,9225,15,0.901029810298103,20.49691056910569,1.2063956639566396,0.08531165311653116,353812.321300813,37.19176151761518,6527.0,1466.0,632.0,421.0,179.0,28.0,156.0,4110.0,2063.0,1708.0,430.0,258.0,146.0,135.0,66.0,92.0,33.0,elementary,easy
74,2I9aYyQzVZey2D9t2kJpJn97Aty7PBeZ0ITJvFS7Hfk=,22124,16,0.7447568251672392,21.689567890074127,1.509853552702947,0.1944494666425601,306108.17754474777,35.960585789188215,15412.0,3382.0,1584.0,1342.0,404.0,132.0,255.0,709.0,10343.0,7230.0,2672.0,386.0,75.0,173.0,54.0,45.0,50.0,elementary,easy
75,2ITXot2a2bPpUbrQr34491M0lzlI7QvvHhgqW0bNZbw=,8417,25,0.7408815492455745,38.70072472377331,1.826897944635856,0.675181180943329,274387.6861114411,49.03706783889747,6468.0,1214.0,382.0,239.0,114.0,19.0,0.0,6.0,38.0,46.0,190.0,5902.0,1065.0,705.0,284.0,52.0,110.0,junior,easy
